EpRewMean	EpLenMean	KLOldNew	Entropy	EVBefore	EVAfter	SurrogateLoss	TimestepsSoFar
-715.168664196875	1000.0	0.000692743	8.286603	0.019294710994157915	0.26296698946249764	-0.024215365	384000
-824.672558372407	1000.0	0.0006975392	8.284857	-1.2502970426868143	0.08272130861919846	-0.09074349	387000
-807.0037396778202	1000.0	0.00048214238	8.283186	0.08505275858797745	0.1420907115400991	-0.032159094	390000
-784.5659204340751	1000.0	0.00044708714	8.281435	0.09660516877296021	0.13664557399170563	-0.08129837	393000
-800.7477908718828	1000.0	0.00036140013	8.279639	0.17004467300033532	0.22588665997644886	-0.072451994	396000
-776.2053455691613	1000.0	0.00041403857	8.277938	0.11268831610659835	0.1612624243231141	-0.029230416	399000
-811.8241072273862	1000.0	0.00032538592	8.27635	0.02333108300562381	0.10456379954986383	-0.018070195	402000
-838.4082938191165	1000.0	0.00038055706	8.274671	0.014199120298712065	0.11060299262204121	-0.08866415	405000
-824.6106559516517	1000.0	0.0003928821	8.272929	0.09473216573835519	0.1515439278071995	-0.07594168	408000
-748.803001649525	1000.0	0.0005285202	8.2710495	0.09488604243874654	0.20627926498691318	-0.10871117	411000
-730.7365885288608	1000.0	0.00083062187	8.269101	0.07690900343651486	0.1667924202032004	-0.08602435	414000
-754.7247712310896	1000.0	0.0009934187	8.267138	0.2149316058175701	0.32202786713463727	-0.07006458	417000
-766.932587303275	1000.0	0.001423451	8.265162	-0.27039164385389536	0.08109385552827575	-0.06988694	420000
-793.7045253836626	1000.0	0.0014352704	8.263207	-0.009081342729705622	0.13014687564608418	-0.06171757	423000
-817.7736213302293	1000.0	0.0011911953	8.261074	0.07179315470535197	0.21017447995595562	-0.13239251	426000
-769.2826548936174	1000.0	0.0007772355	8.2590275	-0.13576855635807417	0.11194168716333541	-0.04008193	429000
-762.0246415616994	1000.0	0.00073956634	8.256926	0.03174694251276888	0.08078460834457346	-0.087096415	432000
-773.1708399164389	1000.0	0.00062624074	8.254838	0.04462813373991492	0.09702778725186001	-0.06403302	435000
-726.9796342552314	1000.0	0.00051221595	8.252765	0.06274420942112868	0.10454071933787767	-0.06641285	438000
-854.5711684271455	1000.0	0.0006768155	8.25063	-0.2063270334581313	0.12225659553878132	-0.09276093	441000
-785.8654617030558	1000.0	0.00076331716	8.248537	-0.19158536289317407	0.0832064380226939	-0.05542666	444000
